#,Korean,English
1,실례합니다. 뭐라고 하셨죠?,"Excuse me,  what did you say?"
2,그건 어떻게 발음하죠?,How do you pronounce that?
3,그걸 어떻게 말해요?,How do you say it?
4,철자가 어떻게 되나요?,How do you spell it?
5,그 단어는 철자가 어떻게 되요?,How do you spell the word?
6,이것은 무엇을 의미하나요?,What does this mean?
7,뭐라고 써있죠?,What does this say?
8,이 단어의 의미는 무엇인가요?,What does this word mean?
9,예를 하나 들어볼래요?,Can you give me an example?
10,우체국을 찾고 있어요.,I'm looking for the post office.
11,이거 어디서 부칠 수 있어요?,Where can I mail this?
12,저한테 우편물 온 것이 없나요?,Is there any mail for me?
13,우체통은 어디에 있습니까?,Where's the mail box?
14,누가 이 편지를 보냈나요?,Who sent this letter?
15,우체국이 어디죠?,Where's the post office?
16,우체국에 가야 해요.,I have to go to the post office.
17,우리 대사관에 연락하고 싶어요.,I want to contact our embassy.
18,이 소포를 보내고 싶은데요.,I want to send this package.
19,훌륭해요.,Excellent.
20,때때로,From time to time.
21,알고있어요.,I know.
22,전 괜찮아요 당신은요?,I'm good and you?
23,저는 결혼 했어요.,I'm married.
24,저는 결혼하지 않았어요.,I'm not married.
25,저는 바쁘지 않아요.,I'm not busy.
26,저는 아직 준비되지 않았어요.,I'm not ready yet.
27,전 모르겠어요.,I'm not sure.
28,저는 아주 바빠요. 지금 시간이 없어요,I'm very busy. I don't have time now.
29,저는 여기에 이틀 동안 있었어요.,I've been here for two days.
30,조금이요.,Just a little.
31,잠깐만 기다려 주세요.,Just a moment.
32,확인해 보겠어요.,Let me check.
33,생각해 볼게요.,Let me think about it.
34,가서 한번 볼게요.,Let's go have a look.
35,그것보다 더 많이요.,More than that.
36,신경 쓰지 마세요.,Never mind.
37,다음에요.,Next time.
38,아니요.,No.
39,네.,Yes.
40,좋은 것 같네요.,Looks good.
41,좋아요.,Sounds good.
42,말도 안돼요.,Nonsense.
43,고맙지만 사양하겠어요.,"No, thank you."
44,시계를 잃어버렸어요.,I lost my watch.
45,제 짐이 없어졌어요.,My luggage is missing.
46,시계를 도둑맞았어요.,My watch has been stolen.
47,사고는 교차로에서 일어났습니다. ,The accident happened at the intersection.
48,교통사고가 났어요.,There has been a car accident.
49,아무도 우릴 도와주지 않아요. ,Nobody is helping us.
50,지금은 아무도 없어요.,Nobody is there right now.
51,조심하세요.,Be careful.
52,걱정 마세요.,Don't worry.
53,좋은 생각이에요.,Good idea.
54,도와주세요!,Help!
55,준비가 다 됐어요,Everything is ready.
56,서둘러요!,Hurry!
57,산책하고 싶어요.,I'd like to go for a walk.
58,어떻게 사용하는지 모르겠어요.,I don't know how to use it.
59,저는 말을 잘 못해요.,I don't speak very well.
60,이해가 안돼요.,I don't understand.
61,귀찮게 해드리고 싶지 않아요.,I don't want to bother you.
62,기분이 좋아요.,I feel good.
63,제 도움이 필요하면 말씀하세요.,"If you need my help, please let me know."
64,좋은 여행하세요!,Have a nice trip!
65,출발할 때 전화할게요.,I'll call you when I leave.
66,나중에 다시 올게요.,I'll come back later.
67,이것을 가져갈게요.,I'll take it.
68,사랑해요.,I love you.
69,추워요.,I'm cold.
70,저는 떠날거예요.,I'm going to leave.
71,저는 기뻐요.,I'm happy.
72,옷을 갈아입어야겠어요.,I need to change clothes.
73,집에 갈 거예요.,I need to go home.
74,전에 그걸 본 적이 없어요.,I've never seen that before.
75,이 양식을 작성해 주세요.,Please fill out this form.
76,일은 잘 되어갑니까?,How's work going?
77,어떻게 지내세요?,How are you?
78,정말?,Really?
79,몇 시로 할까요?,At what time?
80,다시 한 번 말해줄래요?,Can you repeat that please?
81,요리할 줄 아세요?,Do you know how to cook?
82,이게 무슨 뜻인지 아세요?,Do you know what this says?
83,도착했어요?,Have you arrived?
84,잘 지냈어요?,Have you been?
85,영화는 어땠어요?,How was the movie?
86,이 펜은 당신 것입니까?,Is this pen yours?
87,언제 이 일이 발생했나요?,When did this happen?
88,왜 안 되나요?,Why not?
89,다시 알려 주시겠어요?,Will you remind me?
90,아니에요?,Isn't it?
91,괜찮겠어요?,Is that ok?
92,어디서 만났으면 좋겠어요?,Where would you like to meet?
93,어떤 게 더 나아요?,Which one is better?
94,누가 이겼습니까?,Who won?
95,저기 앉아도 돼요?,Can we sit over there?
96,가족과 함께 왔나요?,Did you come with your family?
97,가능하다고 생각해요?,Do you think it's possible?
98,투어가 있나요?,Is there a tour?
99,남성인가요 여성인가요?,Male or female?
100,회사 이름이 뭐예요?,What's the name of the company?
